SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionDistrict,ElectionRegion,CandidateFirstName,CandidateSurname,CandidatePoliticalParty,CandidatePoliticalPartyColor,ElectionRound,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,SLOEDP_UUID,Candidate_SLEOP_UUID,CandidateOtherNames,CandidateFullname
5553,4736,2023-06-24,Presidential,"District Results",Bo,,Prince,Coker,PDP,1E90FF,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/prince-coker-pdp.jpg,ba473b27-e5d5-4d5e-85a5-bab70350dca3,9d9c43ec-adfc-4a59-ab9f-704b1e748e66,,"Prince Coker"
5635,90,2023-06-24,Presidential,"District Results",Bo,,Jonathan,Sandy,NURP,d39b47,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-06/jonathan-sandy-photo.jpg,e080b23b-6b80-4be6-8e86-e3920966e1f9,72e39d90-0324-4936-bf38-2ea5f0f1cc91,Patrick,"Jonathan Patrick Sandy"
5686,4749,2023-06-24,Presidential,"District Results",Pujehun,,Abdulahi,Saccoh,RUFP,996633,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/abdulahi-d-saccoh-rufp.jpg,dbf34921-8b5c-4b2f-84d7-c2135c1cef0d,ed7be0b6-9166-4c44-bfd3-a551062ea8b0,D.,"Abdulahi D. Saccoh"
7279,6222,2023-06-24,Presidential,"District Results",Moyamba,,Iye,Kakay,ADP,ff339f,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/iye-kakay-adp.jpg,749c9e5e-d3cb-45cd-b28f-369c213ea606,cd5ae8b2-bc15-4652-9633-4a5d6da1d1dd,,"Iye Kakay"
4776,4749,2023-06-24,Presidential,"Regional Results",,"Western Rural",Abdulahi,Saccoh,RUFP,996633,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/abdulahi-d-saccoh-rufp.jpg,749b1050-6ef8-4783-bd6c-11fd33ddbe24,ed7be0b6-9166-4c44-bfd3-a551062ea8b0,D.,"Abdulahi D. Saccoh"
6229,85,2023-06-24,Presidential,"Regional Results",,South,Charles,Margai,PMDC,f3881e,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/charles-francis-margai.jpg,36059691-21f3-4798-b40c-a3d1dfd4edd6,54b03b01-ae07-4638-aba4-6044068d2d15,"Francis Kondo","Charles Francis Kondo Margai"
2380,32,2023-06-24,Presidential,"District Results",Kono,,Julius,Bio,SLPP,009900,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/julius-maada-bio.jpg,102d5cd4-5b88-4900-a57c-b2db8de2f3e8,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Maada Wonie","Julius Maada Wonie Bio"
4812,81,2023-06-24,Presidential,"District Results",Koinadugu,,Mohamed,Bah,NDA,1F681B,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/mohamed-c-bah.jpg,1340ced5-0ebe-4e0f-8c3e-85b028a9584b,d9887f21-50b5-4b93-b532-ce61e2fc7797,C,"Mohamed C Bah"
5501,4738,2023-06-24,Presidential,"District Results",Koinadugu,,Nabieu,Kamara,PLP,3e59a9,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/nabieu-osman-kamara-plp.jpg,b07e8a62-0c15-4f93-8aab-8510c6a674d0,fc24f6b1-cc6b-4eab-bf64-91efca657c51,Musa,"Nabieu Musa Kamara"
5580,89,2023-06-24,Presidential,"District Results",Koinadugu,,Beresford,Williams,ReNIP,0d3ac8,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-06/beresford-victor-williams-photo.jpg,a38aaf5b-bcce-41c3-9e07-a8b7cc6cec61,c14d929e-81d3-4220-845d-ef2180ec5590,Victor,"Beresford Victor Williams"
5649,5466,2023-06-24,Presidential,"District Results",Koinadugu,,Mohamed,Jonjo,CDP,f1c40f,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/mohamed-jonjo-cdp.jpg,fef261b0-9330-4fa2-8f8c-3c770816772f,5815cde8-37f1-4fad-bafb-f245a53721bb,,"Mohamed Jonjo"
7257,85,2023-06-24,Presidential,"District Results",Kambia,,Charles,Margai,PMDC,f3881e,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/charles-francis-margai.jpg,5c9acdd2-7507-4cee-b132-763b2d8dcf4e,54b03b01-ae07-4638-aba4-6044068d2d15,"Francis Kondo","Charles Francis Kondo Margai"
7290,88,2023-06-24,Presidential,"District Results",Kambia,,Saa,Kabuta,UNPP,cccc00,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/saa-heny-kabuta.jpg,ee8bfa36-a10b-40b4-9173-7e92daa8fa0f,8993d0bb-b02c-4de3-a130-2a5ef195670a,Henry,"Saa Henry Kabuta"
5524,5466,2023-06-24,Presidential,"National Results",,,Mohamed,Jonjo,CDP,f1c40f,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/mohamed-jonjo-cdp.jpg,00e576be-d4b8-4165-956e-38113f45fc15,5815cde8-37f1-4fad-bafb-f245a53721bb,,"Mohamed Jonjo"
2367,33,2023-06-24,Presidential,"Regional Results",,South,Samura,Kamara,APC,FF333C,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/dr-samura-matthew-wilson-kamara.jpg,0e2e32b7-28aa-47df-b5bc-8437f9765206,8db3e207-7f16-4c2e-a783-94b8136fead7,"Mathew Wilson","Samura Mathew Wilson Kamara"
4796,4736,2023-06-24,Presidential,"Regional Results",,South,Prince,Coker,PDP,1E90FF,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/prince-coker-pdp.jpg,0affc4bb-e6fd-4b91-8275-6909e9963688,9d9c43ec-adfc-4a59-ab9f-704b1e748e66,,"Prince Coker"
7230,88,2023-06-24,Presidential,"Regional Results",,North,Saa,Kabuta,UNPP,cccc00,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/saa-heny-kabuta.jpg,7ed63235-ecdc-430a-86d5-3bc2bd6e6751,8993d0bb-b02c-4de3-a130-2a5ef195670a,Henry,"Saa Henry Kabuta"
2391,33,2023-06-24,Presidential,"District Results",Karene,,Samura,Kamara,APC,FF333C,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/dr-samura-matthew-wilson-kamara.jpg,52109cde-51c5-4aaf-afca-d9f323e8411f,8db3e207-7f16-4c2e-a783-94b8136fead7,"Mathew Wilson","Samura Mathew Wilson Kamara"
4823,82,2023-06-24,Presidential,"District Results",Kailahun,,Mohamed,Sowa-Turay,UDM,9900cc,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-04/mohamed-turay-sowa.png,58d24415-d729-478a-90cd-296b91df4e3c,64c012ca-e6f3-4f66-aab2-49d8ff1c8181,,"Mohamed Sowa-Turay"
5535,4736,2023-06-24,Presidential,"District Results",Kailahun,,Prince,Coker,PDP,1E90FF,"First Round",0,0.00,No,Provisional,/sites/default/files/2023-05/prince-coker-pdp.jpg,7119eee6-8418-40b3-bee9-8c9a4222f4ee,9d9c43ec-adfc-4a59-ab9f-704b1e748e66,,"Prince Coker"
