SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionDistrict,ElectionRegion,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ElectionRound,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,CandidateOtherNames,CandidateFullname,SLOEDP_UUID,Candidate_SLEOP_UUID,CandidatePoliticalPartyID,CandidatePoliticalPartyLongName,CandidatePoliticalPartyLogo
2013,77,3/7/18,Presidential,District Results,Bonthe,,Yumkella,Kandeh,NGC,4b0082,First Round,579,0.75,No,Final/Certified,/sites/default/files/2023-04/dr-kandeh-yumkella.jpg,Kolleh,Kandeh Kolleh Yumkella,5afee313-cbe1-418c-a7b0-d8ad145362d4,80f3c628-b2b6-4e9e-ab40-fbb3a5cd28e5,22,National Grand Coalition,/sites/default/files/party-logos/ngc-party-logo.jpeg
1683,85,3/7/18,Presidential,Regional Results,,North,Margai,Charles,PMDC,f3881e,First Round,574,0.14,No,Final/Certified,/sites/default/files/2023-04/charles-francis-margai.jpg,Francis Kondo,Charles Francis Kondo Margai,24792606-34c5-4a7b-9d0a-1890e95af551,54b03b01-ae07-4638-aba4-6044068d2d15,26,Peoples Movement for Democratic Change,/sites/default/files/party-logos/pmdc-party.jpg
9476,322,5/14/02,Presidential,Regional Results,,East,Thompson,Raymond,CUPP,808080,First Round,566,0.11,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,Bamidele,Raymond Bamidele Thompson,066c1e02-b604-41e9-a29d-2f159b0a3a1f,fca4e8ae-9970-4d96-885d-a29baa03fc45,718,Citizens United for Peace and Progress,/sites/default/files/party-logos/default-party-symbol.jpg
1763,83,3/7/18,Presidential,Regional Results,,West,O'Dwyer,Patrick,NPD,3498DB,First Round,565,0.08,No,Final/Certified,/sites/default/files/2023-04/patrick-odwyer.jpg,John,Patrick John O'Dwyer,f229b7a7-9411-4b94-bb12-22b19caa7f43,b2975a3f-172d-4a8c-81e9-22aa18aa66da,29,National Progressive Democrats,/sites/default/files/party-logos/npd-party.jpg
1506,39,2/27/96,Presidential,District Results,Western Area Rural,,Luke,Desmond,NUM,808080,First Round,565,2.38,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,,Desmond Luke,b1bce3c5-e7e8-4de0-a63f-bba9ed82de6a,7a9b8be2-d5c9-414a-8d65-9de7548d92e3,680,National Unity Movement,/sites/default/files/party-logos/default-party-symbol.jpg
9204,94,11/17/12,Presidential,District Results,Kailahun,,Kamara,Gibrilla,PDP,1E90FF,First Round,555,0.48,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,,Gibrilla Kamara,7d70babf-1e9f-4cdb-bd59-21d84cc3584c,10252505-b9fb-404c-a771-0e9f09e989c5,682,People's Democratic Party,/sites/default/files/party-logos/pdp-party.jpg
2116,80,3/7/18,Presidential,District Results,Koinadugu,,Tarawally,Musa,CDP,f1c40f,First Round,553,0.92,No,Final/Certified,/sites/default/files/2023-04/musa-tarawally.jpg,,Musa Tarawally,c95eb4ce-ca86-45dd-a1c2-f26a0986c3f6,4508f9b7-9aa8-4e52-a52a-db72ce93dc9e,25,Citizens Democratic Party,/sites/default/files/party-logos/cdp-party.jpg
9458,86,8/11/07,Presidential,District Results,Bombali,,Conteh,Kandeh,PLP,3e59a9,First Round,551,0.38,No,Final/Certified,/sites/default/files/2023-04/dr-baba-kandeh.jpg,Baba,Kandeh  Baba Conteh,a4401d74-89c2-4f0f-a2a2-71abd44ef18c,b05244f0-98f8-4680-b781-4c75d6a2c830,30,Peace and Liberation Party,/sites/default/files/party-logos/PLP.png
9553,321,5/14/02,Presidential,District Results,Moyamba,,Bangura,Zainab,MOP,808080,First Round,548,0.47,No,Final/Certified,/sites/default/files/2023-04/zainab-hawa-bangura.jpg,,Zainab Bangura,a94935a4-c3ac-44c0-becf-74a72ce72ab5,7a0bd9c4-806d-4ead-9dda-e6e431b1bdb0,717,Movement for Progress,/sites/default/files/party-logos/default-party-symbol.jpg
759,35,2/27/96,Presidential,Regional Results,,South,Koroma,Abu,DCP,808080,First Round,547,0.38,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,Aiah,Abu Aiah Koroma,ccf430f7-039f-42a4-bcda-e3585b7a81c2,7a8e1aa2-30a6-436f-a004-f3673ba81bc8,677,Democratic Centre Party,/sites/default/files/party-logos/default-party-symbol.jpg
9531,323,5/14/02,Presidential,District Results,Tonkolili,,Turay,Andrew,YPP,D3D3D3,First Round,544,0.41,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,Duramany,Andrew Duramany Turay,f4dca8f2-e59c-4b27-9347-a34b3336a93f,c3dbfff3-7dd0-43e9-9881-002798edbeeb,719,Young People's Party,/sites/default/files/party-logos/default-party-symbol.jpg
9170,95,11/17/12,Presidential,District Results,Bo,,Bangura,Mohamed,UDM,9900cc,First Round,544,0.25,No,Final/Certified,/sites/default/files/2023-04/Mohamed-Bangura.jpg,,Mohamed Bangura,588492e3-e84c-44cd-960f-d7edac75b66e,6d61915f-39c2-44e2-a860-a4cab8f96fdf,28,United Democratic Movement,/sites/default/files/party-logos/udm-party.jpg
